SubjectID,gm_0,gm_1,gm_2,gm_3,gm_4,gm_5,gm_6,gm_7,gm_8,gm_9
sub_000,0.3047171,-1.0399841,0.7504512,0.9405647,-1.9510351,-1.3021795,0.1278404,-0.3162426,-0.016801158,-0.8530439
sub_001,0.879398,0.7777919,0.066030696,1.1272413,0.46750933,-0.85929245,0.36875078,-0.95888263,0.8784503,-0.049925912
sub_002,-0.18486236,-0.68092954,1.2225413,-0.15452948,-0.42832783,-0.35213354,0.5323092,0.36544406,0.4127326,0.430821
sub_003,2.1416476,-0.40641502,-0.51224273,-0.81377274,0.61597943,1.1289723,-0.11394746,-0.8401565,-0.8244812,0.6505928
sub_004,0.7432542,0.54315424,-0.6655097,0.23216133,0.11668581,0.21868859,0.8714288,0.22359554,0.67891353,0.06757907
sub_005,0.2891194,0.63128823,-1.4571558,-0.3196712,-0.47037265,-0.63887787,-0.27514225,1.4949414,-0.86583114,0.96827835
sub_006,-1.6828698,-0.33488503,0.16275306,0.58622235,0.7112266,0.79334724,-0.34872508,-0.4623518,0.8579759,-0.19130433
sub_007,-1.2756863,-1.1332872,-0.9194523,0.49716073,0.14242573,0.69048536,-0.42725265,0.1585397,0.6255904,-0.30934653
sub_008,0.45677525,-0.6619259,-0.36305386,-0.3817379,-1.1958396,0.48697248,-0.46940234,0.012494119,0.48074666,0.44653118
sub_009,0.6653851,-0.098485485,-0.4232983,-0.07971821,-1.6873344,-1.4471124,-1.3226997,-0.9972468,0.39977422,-0.9054791
sub_010,-0.37816256,1.2992283,-0.35626397,0.73751557,-0.93361765,-0.20543756,-0.95002204,-0.33903307,0.8403081,-1.7273204
sub_011,0.43442366,0.2377356,-0.59414995,-1.4460578,0.07212951,-0.52949274,0.23267621,0.021852145,1.6017789,-0.23935562
